epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.20847,1.62041,4.40747,1.55801,0.00057,0.30017,0.00349,0.00231,1.21451,4.62752,1.28265,0.00013332,0.00013332,0.00013332
2,8.9406,1.23396,3.95196,1.36876,0.02268,0.49732,0.15466,0.12351,1.21006,4.47891,1.1751,0.000275,0.000275,0.000275
3,12.7339,1.15165,3.70044,1.31594,0.00791,0.72488,0.22892,0.16706,1.24883,4.31654,1.2337,0.000413821,0.000413821,0.000413821
