epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,324.514,1.00127,1.11194,1.17669,0.94327,0.64882,0.80259,0.50207,1.37007,1.44335,1.4729,0.000616049,0.000616049,0.000616049
47,333.571,0.97309,1.03802,1.18209,0.87999,0.73439,0.79657,0.50463,1.39844,1.44895,1.49876,0.000605051,0.000605051,0.000605051
48,341.032,0.96908,1.0799,1.17576,0.80349,0.70339,0.77967,0.4932,1.3355,1.43809,1.40419,0.000594052,0.000594052,0.000594052
49,348.64,0.90751,1.01392,1.13548,0.923,0.61988,0.78435,0.49911,1.31767,1.34689,1.37629,0.000583053,0.000583053,0.000583053
50,355.58,0.96877,1.00652,1.16282,0.80703,0.74098,0.79885,0.49115,1.38075,1.42201,1.45043,0.000572054,0.000572054,0.000572054
51,359.662,0.89321,1.01858,1.1237,0.87644,0.73942,0.79706,0.50356,1.38624,1.35696,1.44615,0.000561055,0.000561055,0.000561055
52,364.064,0.91205,0.94151,1.14515,0.88805,0.71213,0.77379,0.49181,1.34811,1.37047,1.40586,0.000550056,0.000550056,0.000550056
53,368.041,0.87964,0.93404,1.13464,0.89851,0.69171,0.79407,0.49139,1.38567,1.35677,1.45746,0.000539057,0.000539057,0.000539057
54,372.004,0.89111,0.97145,1.14132,0.88998,0.72413,0.80769,0.51634,1.36502,1.34651,1.466,0.000528058,0.000528058,0.000528058
55,376.072,0.85545,0.898,1.10941,0.89393,0.71598,0.82332,0.54783,1.2903,1.20291,1.37665,0.000517059,0.000517059,0.000517059
56,380.209,0.82021,0.87851,1.10773,0.79774,0.79291,0.81689,0.54015,1.29058,1.23968,1.38963,0.00050606,0.00050606,0.00050606
57,384.32,0.90254,0.90798,1.16097,0.88722,0.71251,0.80419,0.53085,1.36715,1.39174,1.45241,0.000495062,0.000495062,0.000495062
58,388.236,0.89695,0.96229,1.15175,0.85064,0.75305,0.80717,0.53529,1.32508,1.34295,1.38103,0.000484063,0.000484063,0.000484063
59,392.19,0.82768,0.89007,1.11992,0.82736,0.78,0.82376,0.51864,1.33312,1.22568,1.37433,0.000473064,0.000473064,0.000473064
60,396.313,0.86619,0.86108,1.11863,0.87571,0.7573,0.80193,0.51201,1.37473,1.24207,1.39416,0.000462065,0.000462065,0.000462065
61,400.346,0.88596,0.8731,1.12452,0.88,0.76599,0.81471,0.52759,1.32398,1.19501,1.41814,0.000451066,0.000451066,0.000451066
62,404.3,0.8585,0.87353,1.1542,0.89296,0.74558,0.79801,0.51504,1.35192,1.21987,1.44116,0.000440067,0.000440067,0.000440067
63,408.222,0.83529,0.8419,1.11733,0.86063,0.77919,0.80895,0.5209,1.36726,1.24786,1.45173,0.000429068,0.000429068,0.000429068
64,412.263,0.81872,0.88218,1.10511,0.92841,0.69965,0.80385,0.50024,1.38062,1.29236,1.4336,0.000418069,0.000418069,0.000418069
65,416.246,0.87627,0.91562,1.10733,0.8659,0.71987,0.79211,0.51258,1.37836,1.28653,1.41795,0.00040707,0.00040707,0.00040707
66,420.582,0.79392,0.8333,1.08178,0.84289,0.74057,0.8009,0.51176,1.37128,1.2383,1.41063,0.000396071,0.000396071,0.000396071
67,424.491,0.81702,0.80297,1.08454,0.86104,0.73177,0.80325,0.51249,1.38672,1.24947,1.42235,0.000385073,0.000385073,0.000385073
68,428.572,0.80108,0.82766,1.11172,0.81855,0.72636,0.79573,0.50674,1.37142,1.20566,1.37471,0.000374074,0.000374074,0.000374074
69,432.493,0.83794,0.80919,1.09633,0.87461,0.73732,0.82638,0.5136,1.34352,1.25482,1.36266,0.000363075,0.000363075,0.000363075
70,436.564,0.82641,0.7928,1.10003,0.8682,0.78615,0.84032,0.52574,1.31844,1.19086,1.36981,0.000352076,0.000352076,0.000352076
71,440.466,0.77927,0.79702,1.06223,0.93289,0.71964,0.81763,0.50759,1.28702,1.2498,1.37008,0.000341077,0.000341077,0.000341077
72,444.613,0.80133,0.81272,1.09497,0.89225,0.72562,0.8096,0.5119,1.30545,1.27127,1.35207,0.000330078,0.000330078,0.000330078
73,448.66,0.77283,0.77888,1.06485,0.84069,0.77099,0.81596,0.51874,1.30475,1.23361,1.38693,0.000319079,0.000319079,0.000319079
74,452.778,0.76177,0.74557,1.08622,0.89551,0.72592,0.81347,0.53447,1.32071,1.20818,1.40594,0.00030808,0.00030808,0.00030808
75,456.939,0.75297,0.70919,1.06219,0.87405,0.74336,0.82861,0.55152,1.31681,1.16226,1.38734,0.000297081,0.000297081,0.000297081
76,462.935,0.7437,0.74751,1.06398,0.90142,0.72295,0.82969,0.56241,1.32108,1.14151,1.38941,0.000286083,0.000286083,0.000286083
77,470.755,0.74545,0.74342,1.05641,0.91825,0.7269,0.82848,0.54535,1.32976,1.12854,1.41807,0.000275084,0.000275084,0.000275084
78,478.789,0.78804,0.72199,1.10152,0.95965,0.72211,0.82365,0.53055,1.34105,1.16366,1.42927,0.000264085,0.000264085,0.000264085
79,487.012,0.70817,0.72107,1.02135,0.92898,0.69861,0.81132,0.50755,1.39333,1.23467,1.45896,0.000253086,0.000253086,0.000253086
80,495.911,0.74595,0.80383,1.06882,0.92025,0.68403,0.81413,0.52009,1.35201,1.31641,1.44026,0.000242087,0.000242087,0.000242087
81,504.319,0.77051,0.78464,1.09437,0.87902,0.72679,0.82878,0.54788,1.30478,1.24215,1.39868,0.000231088,0.000231088,0.000231088
82,513.176,0.72971,0.70268,1.03519,0.90613,0.72103,0.84892,0.56614,1.2919,1.164,1.36846,0.000220089,0.000220089,0.000220089
83,522.21,0.71797,0.73797,1.04414,0.86423,0.75525,0.85069,0.58021,1.26841,1.12709,1.34411,0.00020909,0.00020909,0.00020909
84,531.603,0.68764,0.65836,1.02883,0.84647,0.75823,0.8372,0.56074,1.30845,1.17064,1.36569,0.000198091,0.000198091,0.000198091
85,539.973,0.68184,0.66078,1.01068,0.89039,0.75102,0.83794,0.55902,1.30996,1.15046,1.37701,0.000187092,0.000187092,0.000187092
86,546.323,0.70921,0.69472,1.03501,0.88859,0.74175,0.83789,0.5621,1.30527,1.158,1.37318,0.000176094,0.000176094,0.000176094
87,551.714,0.71785,0.7034,1.04559,0.94966,0.69683,0.83598,0.56013,1.33284,1.16871,1.38242,0.000165095,0.000165095,0.000165095
88,557.531,0.69016,0.65876,1.04007,0.90564,0.71789,0.82177,0.55034,1.3351,1.17267,1.39408,0.000154096,0.000154096,0.000154096
89,564.346,0.70195,0.66372,1.02589,0.94129,0.73307,0.81953,0.53989,1.32386,1.16153,1.39335,0.000143097,0.000143097,0.000143097
90,569.944,0.68233,0.65335,1.0197,0.87547,0.76308,0.82152,0.54772,1.31404,1.13183,1.39011,0.000132098,0.000132098,0.000132098
91,599.656,0.65915,0.66841,0.98805,0.93094,0.73813,0.83002,0.55561,1.32011,1.12359,1.39509,0.000121099,0.000121099,0.000121099
92,602.869,0.64928,0.65153,0.99022,0.90029,0.73909,0.82889,0.55291,1.34383,1.15562,1.40314,0.0001101,0.0001101,0.0001101
93,606.087,0.60108,0.63478,0.97466,0.89324,0.74565,0.83043,0.55485,1.3383,1.14419,1.39933,9.91012e-05,9.91012e-05,9.91012e-05
94,609.424,0.60524,0.6144,0.9396,0.8865,0.74888,0.8308,0.55384,1.3309,1.14407,1.40091,8.81023e-05,8.81023e-05,8.81023e-05
95,612.698,0.61103,0.62188,0.9864,0.90329,0.74492,0.82692,0.5463,1.33029,1.1348,1.39722,7.71034e-05,7.71034e-05,7.71034e-05
96,616.098,0.58433,0.59829,0.96969,0.90973,0.74009,0.82958,0.54448,1.32755,1.13199,1.39462,6.61045e-05,6.61045e-05,6.61045e-05
97,619.425,0.58704,0.58546,0.95818,0.91014,0.75755,0.83203,0.54827,1.32727,1.1221,1.38467,5.51056e-05,5.51056e-05,5.51056e-05
98,622.757,0.59198,0.57254,0.95382,0.91667,0.75666,0.82906,0.54849,1.31482,1.10978,1.37749,4.41067e-05,4.41067e-05,4.41067e-05
99,626.313,0.57825,0.5993,0.94348,0.91357,0.75644,0.82937,0.55911,1.30889,1.09966,1.37655,3.31078e-05,3.31078e-05,3.31078e-05
100,629.933,0.58344,0.58645,0.95572,0.91548,0.75616,0.83321,0.5593,1.30814,1.08031,1.37994,2.21089e-05,2.21089e-05,2.21089e-05
