epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.48288,1.62041,4.40747,1.55801,0.00057,0.30017,0.00349,0.00231,1.21451,4.62752,1.28265,0.00013332,0.00013332,0.00013332
2,14.5284,1.23396,3.95196,1.36876,0.02268,0.49732,0.15466,0.12351,1.21006,4.47891,1.1751,0.000275,0.000275,0.000275
3,19.6008,1.15165,3.70044,1.31594,0.00791,0.72488,0.22892,0.16706,1.24883,4.31654,1.2337,0.000413821,0.000413821,0.000413821
4,24.8098,1.22779,3.29044,1.41743,0.94468,0.12235,0.3095,0.19515,1.34261,4.15545,1.37174,0.000549782,0.000549782,0.000549782
5,29.3542,1.26695,3.01352,1.39565,0.84371,0.14633,0.45534,0.27729,1.33967,3.9273,1.40015,0.000682883,0.000682883,0.000682883
6,34.0835,1.24071,2.90669,1.39279,0.71226,0.26412,0.4815,0.31321,1.37428,3.85407,1.38116,0.000813124,0.000813124,0.000813124
7,39.1073,1.2416,2.61628,1.39028,0.85647,0.33484,0.5964,0.38401,1.46394,3.72194,1.47924,0.000940506,0.000940506,0.000940506
8,53.7814,1.24424,2.40864,1.35593,0.68324,0.46633,0.60715,0.38239,1.45478,3.47908,1.47417,0.00103401,0.00103401,0.00103401
9,64.8038,1.33194,2.57766,1.46626,0.43865,0.28942,0.29881,0.16979,1.75083,4.23759,2.22703,0.00102301,0.00102301,0.00102301
10,68.0921,1.2741,2.54302,1.42947,0.69509,0.43355,0.52691,0.30215,1.61745,3.57284,1.74284,0.00101201,0.00101201,0.00101201
11,71.4686,1.26718,2.30227,1.36432,0.7519,0.43462,0.55922,0.32224,1.61222,3.57286,1.83773,0.00100101,0.00100101,0.00100101
12,74.8972,1.24129,2.31781,1.41018,0.86619,0.51172,0.6863,0.40099,1.61658,2.69957,1.57051,0.000990012,0.000990012,0.000990012
13,79.0369,1.21398,2.16217,1.30417,0.73727,0.58999,0.68787,0.43944,1.44176,2.40641,1.48803,0.000979013,0.000979013,0.000979013
14,83.2796,1.2139,2.15019,1.36806,0.75251,0.66732,0.71451,0.46018,1.49673,2.48316,1.54723,0.000968014,0.000968014,0.000968014
15,87.5473,1.21135,2.16595,1.37854,0.63706,0.528,0.59757,0.3586,1.63417,2.80574,1.64527,0.000957015,0.000957015,0.000957015
16,92.0151,1.27382,2.12194,1.43641,0.62829,0.55914,0.60575,0.38284,1.51639,2.41973,1.51404,0.000946016,0.000946016,0.000946016
17,96.4164,1.23278,2.05872,1.39009,0.72548,0.57337,0.61753,0.38284,1.42941,2.32647,1.52349,0.000935018,0.000935018,0.000935018
18,100.925,1.16064,1.91235,1.35579,0.69388,0.63185,0.68773,0.43825,1.37478,2.50426,1.54352,0.000924019,0.000924019,0.000924019
19,105.386,1.20281,1.97351,1.35545,0.84227,0.54028,0.65197,0.401,1.51692,2.2041,1.69903,0.00091302,0.00091302,0.00091302
20,109.84,1.08,1.69766,1.23068,0.657,0.6463,0.72925,0.46631,1.40087,1.99465,1.51575,0.000902021,0.000902021,0.000902021
21,116.85,1.1305,1.78213,1.28311,0.70542,0.6869,0.73429,0.46011,1.48155,1.93751,1.53367,0.000891022,0.000891022,0.000891022
22,125.687,1.16467,1.75375,1.29961,0.81278,0.59581,0.69602,0.44996,1.40577,1.88196,1.49311,0.000880023,0.000880023,0.000880023
23,134.316,1.13365,1.75138,1.30333,0.92848,0.56139,0.72974,0.45336,1.42439,1.85288,1.48678,0.000869024,0.000869024,0.000869024
24,142.574,1.08912,1.63348,1.30167,0.70809,0.67361,0.77273,0.48537,1.39905,1.79898,1.46781,0.000858025,0.000858025,0.000858025
25,153.911,1.13709,1.55914,1.31387,0.77855,0.63313,0.78807,0.46934,1.48549,1.82929,1.56691,0.000847026,0.000847026,0.000847026
26,163.233,1.05607,1.56044,1.25653,0.77716,0.59386,0.73805,0.47089,1.42095,1.87851,1.50913,0.000836027,0.000836027,0.000836027
27,170.38,1.12119,1.54732,1.3325,0.84415,0.65011,0.73566,0.4756,1.40726,1.80628,1.54755,0.000825029,0.000825029,0.000825029
28,176.83,1.10775,1.56734,1.31798,0.77047,0.71261,0.72967,0.46319,1.45043,1.77979,1.58927,0.00081403,0.00081403,0.00081403
29,180.935,1.13547,1.55491,1.30376,0.8756,0.66547,0.76359,0.49342,1.35359,1.62504,1.45848,0.000803031,0.000803031,0.000803031
30,185.053,1.08309,1.57928,1.28748,0.83582,0.67269,0.77736,0.46975,1.41937,1.67553,1.50187,0.000792032,0.000792032,0.000792032
31,190.143,1.08765,1.46132,1.29244,0.86043,0.64879,0.75805,0.48118,1.40549,1.72888,1.47173,0.000781033,0.000781033,0.000781033
32,199.309,1.03576,1.43143,1.21285,0.81561,0.75432,0.78786,0.52494,1.3101,1.53144,1.41634,0.000770034,0.000770034,0.000770034
33,212.619,1.04162,1.30575,1.25597,0.82195,0.68279,0.78714,0.49645,1.34312,1.57066,1.41643,0.000759035,0.000759035,0.000759035
34,226.907,1.01786,1.30107,1.23719,0.85465,0.64444,0.7619,0.4668,1.40316,1.60781,1.52595,0.000748036,0.000748036,0.000748036
35,241.626,1.05302,1.34773,1.22608,0.79509,0.62151,0.71751,0.44895,1.40337,1.67939,1.48818,0.000737037,0.000737037,0.000737037
36,252.784,1.06075,1.37624,1.24325,0.8335,0.69762,0.76969,0.49368,1.39625,1.6122,1.43622,0.000726038,0.000726038,0.000726038
37,258.599,1.05227,1.28893,1.23647,0.73346,0.71899,0.73801,0.47942,1.3024,1.60064,1.41791,0.00071504,0.00071504,0.00071504
38,263.592,0.97008,1.21144,1.20448,0.83062,0.73693,0.79224,0.51729,1.30327,1.58376,1.4261,0.000704041,0.000704041,0.000704041
39,268.723,1.00205,1.17177,1.20877,0.83276,0.75206,0.81499,0.52035,1.32101,1.47608,1.40621,0.000693042,0.000693042,0.000693042
40,275.85,0.95406,1.18698,1.20318,0.90588,0.70762,0.83978,0.54614,1.34653,1.39313,1.40779,0.000682043,0.000682043,0.000682043
41,283.667,0.96711,1.05564,1.16822,0.72894,0.80588,0.8169,0.51176,1.38437,1.48773,1.46419,0.000671044,0.000671044,0.000671044
42,290.813,1.00202,1.22329,1.22306,0.74343,0.75357,0.80924,0.49338,1.43646,1.55748,1.50387,0.000660045,0.000660045,0.000660045
43,298.22,1.00535,1.11475,1.18502,0.77759,0.67216,0.73728,0.44951,1.44306,1.68768,1.55235,0.000649046,0.000649046,0.000649046
44,306.643,0.94912,1.05131,1.2055,0.84484,0.64196,0.75297,0.46997,1.35375,1.57557,1.43464,0.000638047,0.000638047,0.000638047
45,314.794,1.00368,1.11331,1.22648,0.76925,0.70375,0.78353,0.49227,1.35026,1.46065,1.4251,0.000627048,0.000627048,0.000627048
